"municipio","COUNT(municipio)","mes","ano","AVG(tempo_atracado)","AVG(tempo_estadia)"
Almeirim,1,"43,5","2019",4.0,43.0
Almeirim,1,"89,500000000116","2019",26.0,88.0
Anchieta,1,"72,166666666686","2019",3.0,54.0
Anchieta,1,"86,649999999907","2019",3.0,85.0
Angra dos Reis,1,"110,50000000012","2019",41.0,101.0
Angra dos Reis,1,"117,08333333326","2019",8.0,109.0
Angra dos Reis,1,"125,61666666664","2019",21.0,82.0
Angra dos Reis,1,"128,16666666674","2019",4.0,47.0
Angra dos Reis,1,"130,39999999985","2019",19.0,48.0
Angra dos Reis,1,"130,41666666674","2019",8.0,30.0
Angra dos Reis,1,"130,66666666669","2019",2.0,52.0
Angra dos Reis,1,"134,49999999994","2019",24.0,60.0
Angra dos Reis,1,"142,74999999994","2019",13.0,46.0
Angra dos Reis,1,"145,88333333336","2019",4.0,51.0
Angra dos Reis,1,"150,03333333327","2019",3.0,34.0
Angra dos Reis,1,"158,39999999997","2019",14.0,44.0
Angra dos Reis,1,"166,24999999988","2019",2.0,118.0
Angra dos Reis,1,"189","2019",3.0,37.0
Angra dos Reis,1,"189,83333333326","2019",11.0,83.0
Angra dos Reis,1,"200,44999999995","2019",10.0,140.0
Angra dos Reis,1,"200,98333333328","2019",7.0,69.0
Angra dos Reis,1,"216,16666666669","2019",12.0,78.0
Angra dos Reis,1,"217,74999999994","2019",12.0,146.0
Angra dos Reis,1,"224,33333333326","2019",13.0,40.0
Angra dos Reis,1,"249,4166666668","2019",16.0,47.0
Angra dos Reis,1,"263,00000000006","2019",8.0,38.0
Angra dos Reis,1,"276,39999999991","2019",14.0,43.0
Angra dos Reis,1,"304,91666666663","2019",17.0,105.0
Angra dos Reis,1,"38,333333333256","2019",3.0,33.0
Angra dos Reis,1,"39,200000000128","2019",3.0,29.0
Angra dos Reis,1,"40,916666666628","2019",2.0,35.0
Angra dos Reis,1,"427,25000000006","2019",10.0,43.0
Angra dos Reis,1,"43,5","2019",4.0,27.0
Angra dos Reis,1,"44,583333333372","2019",3.0,39.0
Angra dos Reis,1,"45,083333333256","2019",8.0,35.0
Angra dos Reis,1,"46,083333333372","2019",6.0,34.0
Angra dos Reis,1,"46,166666666628","2019",4.0,41.0
Angra dos Reis,1,"46,79999999993","2019",6.0,32.0
Angra dos Reis,1,"47,333333333256","2019",4.0,33.0
Angra dos Reis,1,"49,400000000023","2019",12.0,41.0
Angra dos Reis,1,"498,78333333344","2019",3.0,38.0
Angra dos Reis,1,"51,333333333372","2019",4.0,18.0
Angra dos Reis,1,"54,983333333221","2019",4.0,23.0
Angra dos Reis,1,"63","2019",2.0,34.0
Angra dos Reis,1,"68,500000000116","2019",3.0,28.0
Angra dos Reis,1,"69,666666666744","2019",4.0,22.0
Angra dos Reis,1,"8,0333333333256","2019",5.0,7.0
Angra dos Reis,1,"81,600000000035","2019",4.0,32.0
Angra dos Reis,1,"86,399999999965","2019",13.0,52.0
Angra dos Reis,1,"88,100000000093","2019",5.0,29.0
Angra dos Reis,1,"93,099999999977","2019",14.0,40.0
Antonina,1,"107,91666666674","2019",2.0,96.0
Antonina,1,"109,83333333337","2019",5.0,98.0
Antonina,1,"1101,5000000001","2019",7.0,192.0
Antonina,1,"200,03333333333","2019",7.0,121.0
Antonina,1,"216,83333333343","2019",7.0,196.0
Antonina,1,"427,66666666669","2019",3.0,93.0
Antonina,1,"434,29999999999","2019",3.0,190.0
Antonina,1,"716,20000000001","2019",2.0,211.0
Aracaju,1,"49,699999999953","2019",15.0,41.0
Aracruz,1,"10,849999999919","2019",0.0,10.0
Aracruz,1,"108,88333333342","2019",2.0,106.0
Aracruz,1,"109,91666666663","2019",0.0,108.0
Aracruz,1,"11,233333333279","2019",0.0,10.0
Aracruz,1,"12,533333333326","2019",0.0,12.0
Aracruz,1,"12,866666666698","2019",0.0,11.0
Aracruz,1,"123,19999999995","2019",3.0,122.0
Aracruz,1,"128,64999999991","2019",2.0,126.0
Aracruz,1,"128,86666666658","2019",0.0,123.0
Aracruz,1,"13,250000000058","2019",0.0,11.0
Aracruz,1,"13,566666666535","2019",0.0,12.0
Aracruz,1,"13,633333333244","2019",1.0,13.0
Aracruz,1,"13,649999999965","2019",1.0,13.0
Aracruz,1,"13,716666666674","2019",1.0,13.0
Aracruz,1,"13,79999999993","2019",2.0,12.0
Aracruz,1,"13,833333333372","2019",0.0,13.0
Aracruz,1,"130,54999999999","2019",3.0,128.0
Aracruz,1,"138,13333333342","2019",10.0,108.0
Aracruz,1,"14,066666666593","2019",1.0,12.0
Aracruz,1,"14,216666666733","2019",2.0,13.0
Aracruz,1,"14,449999999953","2019",2.0,14.0
Aracruz,1,"14,483333333221","2019",1.0,13.0
Aracruz,1,"14,666666666628","2019",0.0,13.0
Aracruz,1,"14,749999999884","2019",0.0,13.0
Aracruz,1,"14,833333333314","2019",1.0,14.0
Aracruz,1,"14,91666666657","2019",0.0,14.0
Aracruz,1,"149,43333333341","2019",2.0,142.0
Aracruz,1,"15,166666666686","2019",0.0,14.0
Aracruz,1,"15,333333333372","2019",0.0,14.0
Aracruz,1,"15,516666666605","2019",3.0,13.0
Aracruz,1,"15,683333333291","2019",2.0,14.0
Aracruz,1,"15,75","2019",3.0,15.0
Aracruz,1,"15,833333333256","2019",0.0,12.0
Aracruz,1,"15,983333333395","2019",0.0,15.0
Aracruz,1,"150,08333333326","2019",1.0,139.0
Aracruz,1,"151,1666666668","2019",6.0,143.0
Aracruz,1,"152,08333333331","2019",22.0,140.0
Aracruz,1,"16,383333333302","2019",3.0,16.0
Aracruz,1,"16,566666666709","2019",0.0,16.0
Aracruz,1,"16,833333333372","2019",1.0,14.0
Aracruz,1,"17,833333333314","2019",1.0,17.0
Aracruz,1,"170,33333333343","2019",2.0,43.0
Aracruz,1,"176,48333333322","2019",3.0,113.0
Aracruz,1,"18,066666666709","2019",0.0,15.0
Aracruz,1,"18,66666666657","2019",5.0,18.0
Aracruz,1,"18,849999999977","2019",0.0,18.0
Aracruz,1,"182,75000000006","2019",6.0,0.0
Aracruz,1,"19,600000000151","2019",0.0,18.0
Aracruz,1,"19,816666666651","2019",1.0,15.0
Aracruz,1,"20,166666666744","2019",4.0,19.0
Aracruz,1,"20,25","2019",1.0,19.0
Aracruz,1,"20,583333333372","2019",0.0,19.0
Aracruz,1,"20,833333333314","2019",0.0,17.0
Aracruz,1,"201,1166666667","2019",3.0,72.0
Aracruz,1,"21,216666666674","2019",2.0,20.0
Aracruz,2,"21,333333333372","2019",0.5,17.0
Aracruz,1,"21,75","2019",2.0,21.0
Aracruz,1,"22,88333333336","2019",1.0,21.0
Aracruz,1,"23,050000000047","2019",0.0,17.0
Aracruz,1,"23,299999999988","2019",3.0,22.0
Aracruz,1,"23,533333333384","2019",4.0,22.0
Aracruz,1,"25,166666666628","2019",0.0,18.0
Aracruz,1,"26,200000000012","2019",2.0,21.0
Aracruz,1,"26,366666666698","2019",6.0,25.0
Aracruz,1,"27,066666666535","2019",0.0,14.0
Aracruz,1,"27,166666666686","2019",0.0,18.0
Aracruz,1,"27,38333333336","2019",1.0,26.0
Aracruz,1,"27,416666666802","2019",0.0,18.0
Aracruz,1,"27,566666666768","2019",11.0,21.0
Aracruz,1,"27,633333333477","2019",12.0,25.0
Aracruz,1,"28,100000000093","2019",0.0,23.0
Aracruz,1,"28,366666666581","2019",10.0,27.0
Aracruz,1,"28,916666666802","2019",6.0,22.0
Aracruz,1,"29,383333333244","2019",2.0,18.0
Aracruz,1,"30,350000000093","2019",1.0,29.0
Aracruz,1,"30,950000000128","2019",6.0,30.0
Aracruz,1,"31,783333333384","2019",3.0,29.0
Aracruz,1,"32,299999999988","2019",2.0,30.0
Aracruz,1,"32,333333333256","2019",6.0,31.0
Aracruz,1,"34,316666666593","2019",17.0,33.0
Aracruz,1,"35,499999999942","2019",4.0,34.0
Aracruz,1,"35,850000000035","2019",1.0,33.0
Aracruz,1,"36,416666666802","2019",4.0,34.0
Aracruz,1,"36,549999999872","2019",1.0,36.0
Aracruz,1,"37,58333333343","2019",2.0,36.0
